"ID","Genes","Promoter","CpGs"
"""1_9648089""","TMEM201",TRUE,FALSE
"""1_26499658""","CATSPER4;CNKSR1",TRUE,FALSE
"""1_26690647""","ZNF683",TRUE,FALSE
"""1_27147799""","ZDHHC18",TRUE,FALSE
"""1_28906507""","SNHG12",TRUE,FALSE
"""1_29062514""","YTHDF2",TRUE,FALSE
"""1_29197677""","RP1-212P9.3",TRUE,FALSE
"""1_29505251""","SRSF4",TRUE,FALSE
"""1_110080432""","GPR61",TRUE,FALSE
"""1_110083451""","GPR61;RP5-1160K1.8",TRUE,FALSE
"""1_110088719""","GNAI3",TRUE,FALSE
"""1_110166949""","AMPD2;RP5-1160K1.6",TRUE,FALSE
"""1_110196942""","GSTM4",TRUE,FALSE
"""1_150458035""","TARS2",TRUE,FALSE
"""1_151512436""","RP11-74C1.4;TUFT1",TRUE,FALSE
"""1_151592346""","RNU6-1062P",TRUE,FALSE
"""1_151672272""","AL589765.1;CELF3;RIIAD1;RP11-98D18.1",TRUE,FALSE
"""1_151687246""","CELF3",TRUE,FALSE
"""1_151731826""","MRPL9;OAZ3;RP11-98D18.16;RP11-98D18.2",TRUE,FALSE
"""1_151763245""","RP11-98D18.9;TDRKH",TRUE,FALSE
"""1_151793294""","RORC",TRUE,FALSE
"""1_151812040""","AL450992.2;C2CD4D;Y_RNA",TRUE,FALSE
"""1_151964788""","NBPF18P;S100A10",TRUE,FALSE
"""1_154237905""","HAX1;UBAP2L",TRUE,FALSE
"""1_154937471""","CKS1B;MIR4258;SHC1",TRUE,FALSE
"""1_220951694""","MARC1;MARC2",TRUE,FALSE
"""1_221910905""","DUSP10",TRUE,FALSE
"""1_222788116""","MIA3",TRUE,FALSE
"""1_231372947""","C1orf131;GNPAT",TRUE,FALSE
"""10_134206302""","PWWP2B",TRUE,FALSE
"""11_295655""","IFITM2;IFITM5;RP11-326C3.4",TRUE,FALSE
"""11_355508""","B4GALNT4",TRUE,FALSE
"""11_1869237""","LSP1",TRUE,FALSE
"""11_2005194""","AC051649.6;H19;MRPL23-AS1",TRUE,FALSE
"""11_2175865""","INS;INS-IGF2",TRUE,FALSE
"""11_2185891""","MIR4686;TH",TRUE,FALSE
"""11_2421130""","AC124057.5;TSSC4",TRUE,FALSE
"""11_2433554""","TRPM5",TRUE,FALSE
"""11_2457869""","KCNQ1",TRUE,FALSE
"""11_3187816""","OSBPL5",TRUE,FALSE
"""11_20153085""",NA,TRUE,FALSE
"""11_62552270""","RP11-727F15.12;TMEM179B;TMEM223",TRUE,FALSE
"""11_66101155""","RP11-867G23.12",TRUE,FALSE
"""11_66278030""","BBS1",TRUE,FALSE
"""11_66444372""","RBM4B",TRUE,FALSE
"""11_67024509""","ADRBK1",TRUE,FALSE
"""11_67039530""","ADRBK1;ANKRD13D",TRUE,FALSE
"""11_67141091""","CLCF1",TRUE,FALSE
"""11_67255570""","AIP;CDK2AP2;PITPNM1",TRUE,FALSE
"""11_67348312""","GSTP1",TRUE,FALSE
"""12_689397""","RNU7-103P;RP5-1154L15.1;RP5-1154L15.2",TRUE,FALSE
"""12_738670""","RP11-218M22.1",TRUE,FALSE
"""12_6444218""","RN7SL391P;TNFRSF1A",TRUE,FALSE
"""12_6553533""","CD27",TRUE,FALSE
"""12_6602233""","MRPL51;NCAPD2",TRUE,FALSE
"""12_6641136""","GAPDH;RP5-940J5.3",TRUE,FALSE
"""12_6652529""","IFFO1;RP5-940J5.8",TRUE,FALSE
"""12_6685050""","CHD4;RP5-940J5.6;SCARNA11",TRUE,FALSE
"""12_6831898""","COPS7A;RP4-761J14.9",TRUE,FALSE
"""12_6874349""","PTMS",TRUE,FALSE
"""12_6895382""","CD4",TRUE,FALSE
"""12_6943615""","GNB3",TRUE,FALSE
"""12_6956172""","CDCA3;USP5",TRUE,FALSE
"""12_6996470""","LRRC23;SPSB2",TRUE,FALSE
"""12_49665752""","RP11-161H23.5",TRUE,FALSE
"""12_49670398""","PRPH",TRUE,FALSE
"""12_49716640""","RP11-161H23.9;TROAP",TRUE,FALSE
"""12_49723250""","C1QL4",TRUE,FALSE
"""12_49740545""","DNAJC22",TRUE,FALSE
"""12_49756726""","SPATS2",TRUE,FALSE
"""13_31190013""","HMGB1;USPL1",TRUE,FALSE
"""13_31303389""","ALOX5AP",TRUE,FALSE
"""13_31505965""","TEX26-AS1;TEX26",TRUE,FALSE
"""13_31772572""","B3GALTL",TRUE,FALSE
"""14_23647194""","SLC7A8",TRUE,FALSE
"""14_23654308""","C14orf164",TRUE,FALSE
"""14_23758978""","BCL2L2;HOMEZ;PPP1R3E;RP11-124D2.7",TRUE,FALSE
"""14_23775289""","BCL2L2;BCL2L2-PABPN1",TRUE,FALSE
"""14_23787959""","AL049829.1;PABPN1",TRUE,FALSE
"""14_23838508""","IL25",TRUE,FALSE
"""14_102783055""","ZNF839",TRUE,FALSE
"""14_103239904""","RP11-661D19.3;TRAF3",TRUE,FALSE
"""14_103364022""","AMN",TRUE,FALSE
"""16_277802""","ITFG3;LUC7L;Z69890.1",TRUE,FALSE
"""16_1116993""","C1QTNF8;SSTR5-AS1;SSTR5",TRUE,FALSE
"""16_1726640""","HN1L",TRUE,FALSE
"""16_2030662""","AC005606.14;AC005606.1;GFER;NOXO1",TRUE,FALSE
"""16_2183210""","MIR3180-5;PKD1",TRUE,FALSE
"""16_2190404""","RAB26;RP11-304L19.5;SNORD60",TRUE,FALSE
"""16_2205380""","TRAF7",TRUE,FALSE
"""16_4896332""","GLYR1;UBN1",TRUE,FALSE
"""16_5005567""","PPL;SEC14L5",TRUE,FALSE
"""16_30064345""","ALDOA",TRUE,FALSE
"""16_30077830""","ALDOA;PPP4C",TRUE,FALSE
"""16_30114800""","GDPD3;RP11-455F5.4",TRUE,FALSE
"""16_30378870""","MYLPF;TBC1D10B",TRUE,FALSE
"""16_30383430""","MYLPF",TRUE,FALSE
"""16_30386906""","MYLPF;ZNF48",TRUE,FALSE
"""16_30392323""","SEPT1",TRUE,FALSE
"""16_30430264""","SNORA42",TRUE,FALSE
"""16_30440360""","DCTPP1",TRUE,FALSE
"""16_30563264""","AC002310.13;ZNF688;ZNF764",TRUE,FALSE
"""16_30705135""","RNU6-1043P;RP11-146F11.1;SRCAP",TRUE,FALSE
"""16_30933762""","FBXL19-AS1;FBXL19",TRUE,FALSE
"""16_30984589""","AC135048.1;HSD3B7;STX1B",TRUE,FALSE
"""16_31072183""","AC135050.5;ZNF668",TRUE,FALSE
"""16_31083392""","ZNF668",TRUE,FALSE
"""16_31085710""","ZNF646",TRUE,FALSE
"""16_31087387""","PRSS53;RP11-196G11.1;VKORC1",TRUE,FALSE
"""16_31110532""","AC135050.1;BCKDK",TRUE,FALSE
"""16_31191436""","FUS;RP11-388M20.6",TRUE,FALSE
"""16_31209754""","C16orf98;PYCARD",TRUE,FALSE
"""16_31227702""","PYDC1",TRUE,FALSE
"""16_31278701""","RNU7-199P",TRUE,FALSE
"""16_31359193""","ITGAX;RP11-120K18.3",TRUE,FALSE
"""16_31403064""","ITGAD",TRUE,FALSE
"""16_31439056""","COX6A2",TRUE,FALSE
"""16_31466454""","ARMC5",TRUE,FALSE
"""16_31477155""","SLC5A2;TGFB1I1",TRUE,FALSE
"""16_31497401""","AC026471.6;C16orf58;RP11-452L6.7;SLC5A2",TRUE,FALSE
"""16_31879803""","RP11-170L3.2;ZNF267",TRUE,FALSE
"""16_83839037""","HSBP1;RP11-483P21.2",TRUE,FALSE
"""16_83982663""","OSGIN1",TRUE,FALSE
"""16_83993957""","NECAB2",TRUE,FALSE
"""16_84136314""","MBTPS1;RP11-505K9.1",TRUE,FALSE
"""16_84225815""","ADAD2;RP11-486L19.2",TRUE,FALSE
"""16_84650206""","COTL1",TRUE,FALSE
"""16_84677967""","KLHL36",TRUE,FALSE
"""16_84728548""","USP10",TRUE,FALSE
"""17_2495524""","PAFAH1B1",TRUE,FALSE
"""17_7011836""","ASGR2",TRUE,FALSE
"""17_7082582""","ASGR1",TRUE,FALSE
"""17_7114907""","ACADVL;DLG4",TRUE,FALSE
"""17_7125388""","ACADVL;MIR324",TRUE,FALSE
"""17_7148159""","CTDNEP1;ELP5",TRUE,FALSE
"""17_7182998""","RP1-4G17.2;SLC2A4;YBX2",TRUE,FALSE
"""17_7203975""","EIF5A;GPS2",TRUE,FALSE
"""17_7238218""","ACAP1",TRUE,FALSE
"""17_7253060""","ACAP1;KCTD11",TRUE,FALSE
"""17_7466839""","EIF4A1;SENP3;SNORA67",TRUE,FALSE
"""17_73746011""","GALK1;ITGB4",TRUE,FALSE
"""18_797520""","RNU1-109P",TRUE,FALSE
"""18_803627""","RP11-672L10.6;YES1",TRUE,FALSE
"""18_2571258""","METTL4;NDC80",TRUE,FALSE
"""18_2770183""","snoU13",TRUE,FALSE
"""18_2845960""","EMILIN2",TRUE,FALSE
"""18_3007049""","LPIN2",TRUE,FALSE
"""18_5294871""","ZBTB14",TRUE,FALSE
"""18_9136397""","ANKRD12;RP11-143J12.2",TRUE,FALSE
"""19_2533003""","TCEB1P28",TRUE,FALSE
"""19_10043738""","OLFM2",TRUE,FALSE
"""19_10215285""","EIF3G;P2RY11;PPAN;PPAN-P2RY11;SNORD105B;SNORD105",TRUE,FALSE
"""19_10228245""","EIF3G",TRUE,FALSE
"""19_10305213""","DNMT1",TRUE,FALSE
"""19_10319223""","CTD-2369P2.2;DNMT1;MIR4322;S1PR2",TRUE,FALSE
"""19_10397276""","CTD-2369P2.8;ICAM4",TRUE,FALSE
"""19_10399834""","ICAM5;ZGLP1",TRUE,FALSE
"""19_10420118""","CTD-2369P2.10;CTD-2369P2.12;FDX1L;RAVER1;ZGLP1",TRUE,FALSE
"""19_10440403""","ICAM3;RAVER1",TRUE,FALSE
"""19_10482404""","TYK2",TRUE,FALSE
"""19_10511971""","CDC37;MIR1181",TRUE,FALSE
"""19_10626941""","S1PR5",TRUE,FALSE
"""19_10667442""","KRI1",TRUE,FALSE
"""19_10677260""","CDKN2D",TRUE,FALSE
"""19_10708117""","CTC-539A10.7;SLC44A2",TRUE,FALSE
"""19_10761038""","ILF3-AS1;ILF3",TRUE,FALSE
"""19_12691443""","CTD-2192J16.20;ZNF490;ZNF791",TRUE,FALSE
"""19_12813105""","SNORD41;TNPO2",TRUE,FALSE
"""19_37340147""","ZNF345;ZNF790",TRUE,FALSE
"""2_3621510""","RPS7",TRUE,FALSE
"""2_7056902""","RNF144A-AS1;RNF144A",TRUE,FALSE
"""2_17926946""","GEN1;SMC6",TRUE,FALSE
"""2_23746714""","AC011239.1",TRUE,FALSE
"""2_30452812""","LBH",TRUE,FALSE
"""2_30654269""","AC073255.1",TRUE,FALSE
"""2_30665831""","LCLAT1",TRUE,FALSE
"""2_32280111""","SPAST",TRUE,FALSE
"""2_32502385""","YIPF4",TRUE,FALSE
"""2_33822817""","FAM98A",TRUE,FALSE
"""2_103352757""","MFSD9;TMEM182",TRUE,FALSE
"""2_105857989""","AC012360.1;GPR45;RP11-332H14.1",TRUE,FALSE
"""2_241831795""","C2orf54",TRUE,FALSE
"""2_241897239""","AC104809.3;AC104809.4",TRUE,FALSE
"""2_242563102""","ATG4B;THAP4",TRUE,FALSE
"""20_30432850""","DUSP15;FOXS1",TRUE,FALSE
"""20_30535281""","PDRG1",TRUE,FALSE
"""20_30547877""","XKR7",TRUE,FALSE
"""20_30595567""","CCM2L;RNA5SP481",TRUE,FALSE
"""20_30611954""","RP1-310O13.7",TRUE,FALSE
"""20_30695849""","TM9SF4",TRUE,FALSE
"""20_31167858""","C20orf112;RP11-410N8.1;RP11-410N8.4",TRUE,FALSE
"""20_60638150""","hsa-mir-3195;TAF4",TRUE,FALSE
"""20_60799030""","OSBPL2",TRUE,FALSE
"""20_60871672""","ADRM1;LAMA5;RP11-157P1.4",TRUE,FALSE
"""20_61210857""","RP13-30A9.1;RP13-30A9.2",TRUE,FALSE
"""20_61272978""","RP11-93B14.6;SLCO4A1",TRUE,FALSE
"""20_61286054""","RP11-93B14.5;SLCO4A1",TRUE,FALSE
"""20_61339007""","NTSR1",TRUE,FALSE
"""20_61405091""","LINC00659",TRUE,FALSE
"""20_61417415""","MRGBP",TRUE,FALSE
"""20_61430694""","OGFR-AS1;OGFR",TRUE,FALSE
"""20_61447559""","COL9A3",TRUE,FALSE
"""20_61633544""","BHLHE23;RP11-305P22.9",TRUE,FALSE
"""20_62486746""","ABHD16B;C20ORF135;TPD52L2",TRUE,FALSE
"""21_44845321""","SIK1",TRUE,FALSE
"""21_46821604""","COL18A1-AS2;COL18A1",TRUE,FALSE
"""21_46961624""","SLC19A1",TRUE,FALSE
"""3_9925635""","IL17RE;JAGN1",TRUE,FALSE
"""3_10324247""","GHRLOS;LINC00852",TRUE,FALSE
"""3_167447672""","PDCD10;SERPINI1",TRUE,FALSE
"""3_178863488""","PIK3CA;RP11-360P21.2",TRUE,FALSE
"""3_178886215""","SNORA25",TRUE,FALSE
"""3_178984568""","KCNMB3",TRUE,FALSE
"""3_179037674""","ZNF639",TRUE,FALSE
"""3_179064863""","MFN1",TRUE,FALSE
"""3_179278890""","ACTL6A",TRUE,FALSE
"""3_179314384""","MRPL47;NDUFB5",TRUE,FALSE
"""3_179326784""","NDUFB5;snoU13",TRUE,FALSE
"""3_180319607""","RP11-496B10.3;TTC14",TRUE,FALSE
"""5_1335787""","CLPTM1L",TRUE,FALSE
"""5_94952477""","GPR150",TRUE,FALSE
"""5_94978641""","RFESD",TRUE,FALSE
"""5_98258843""","CHD1;CTD-2007H13.3",TRUE,FALSE
"""5_180141974""","RNU1-17P",TRUE,FALSE
"""5_180279926""","ZFP62",TRUE,FALSE
"""5_180609719""","CTC-338M12.2;CTC-338M12.5",TRUE,FALSE
"""6_31511143""","ATP6V1G2-DDX39B;ATP6V1G2;NFKBIL1",TRUE,FALSE
"""6_31661602""","ABHD16A;MIR4646",TRUE,FALSE
"""6_31672196""","LY6G6F;MEGT1",TRUE,FALSE
"""6_31706940""","CLIC1;MSH5;MSH5-SAPCD1",TRUE,FALSE
"""6_31720598""","MSH5;MSH5-SAPCD1;RNU6-850P",TRUE,FALSE
"""6_31729710""","MSH5-SAPCD1;SAPCD1-AS1;SAPCD1;VWA7",TRUE,FALSE
"""6_31742531""","VARS;VWA7;Y_RNA",TRUE,FALSE
"""6_31753069""","VARS",TRUE,FALSE
"""6_31774256""","LSM2",TRUE,FALSE
"""6_31779405""","HSPA1A;HSPA1L",TRUE,FALSE
"""6_31788101""","C6orf48;HSPA1B;SNORD48",TRUE,FALSE
"""6_31803288""","C6orf48;SNORD52",TRUE,FALSE
"""6_31824998""","NEU1",TRUE,FALSE
"""6_31836415""","SLC44A4",TRUE,FALSE
"""6_31851517""","EHMT2-AS1;EHMT2",TRUE,FALSE
"""6_41191557""","RNA5SP207;TREML4",TRUE,FALSE
"""6_41686757""","PGC;RP11-298J23.5;TFEB",TRUE,FALSE
"""6_41746526""","FRS3;PRICKLE4",TRUE,FALSE
"""6_41752785""","FRS3;TOMM6",TRUE,FALSE
"""6_42461171""","RP11-256G5.1;snoU13",TRUE,FALSE
"""6_117001890""","KPNA5",TRUE,FALSE
"""6_166619663""","RNU6-153P",TRUE,FALSE
"""6_166715895""","PRR18",TRUE,FALSE
"""6_166755499""","SFT2D1",TRUE,FALSE
"""6_167367477""","RNASET2;RP11-514O12.4",TRUE,FALSE
"""6_167406942""","FGFR1OP;MIR3939;RP11-517H2.6;RP1-167A14.2",TRUE,FALSE
"""7_3200654""","AC091801.1",TRUE,FALSE
"""7_5489147""","AC092171.4;snoU13",TRUE,FALSE
"""8_10638877""","SNORD112",TRUE,FALSE
"""8_143750032""","JRK;PSCA",TRUE,FALSE
"""8_144231111""","LY6H",TRUE,FALSE
"""9_134041850""","RP11-544A12.4",TRUE,FALSE
"""1_3768441""","CEP104;DFFB",TRUE,TRUE
"""1_221051343""","HLA-AS1;HLX",TRUE,TRUE
"""1_230991032""","C1orf198",TRUE,TRUE
"""10_134593579""","NKX6-2;RP11-288G11.3",TRUE,TRUE
"""11_20063907""","NAV2-AS2",TRUE,TRUE
"""11_66823222""","RHOD",TRUE,TRUE
"""12_889721""","RNU4ATAC16P",TRUE,TRUE
"""13_30156185""","SLC7A1",TRUE,TRUE
"""17_2546290""","snoU13",TRUE,TRUE
"""19_2245818""","AMH",TRUE,TRUE
"""2_31454060""","CAPN14;EHD3",TRUE,TRUE
"""2_242119937""","ANO7",TRUE,TRUE
"""20_30406625""","MYLK2",TRUE,TRUE
"""20_61897326""","ARFGAP1;NKAIN4",TRUE,TRUE
"""3_49017804""","ARIH2;P4HTM;RP13-131K19.1;RP13-131K19.2;RP13-131K19.7",TRUE,TRUE
"""5_180581804""","OR2V2",TRUE,TRUE
"""7_2981215""","AC004906.3",TRUE,TRUE
"""7_5220520""","WIPI2",TRUE,TRUE
"""7_100544889""","MUC3A;RP11-395B7.2",TRUE,TRUE
"""8_10522736""","C8orf74;MIR4286",TRUE,TRUE
"""1_1206874""","RP5-902P8.10;UBE2J2",TRUE,FALSE
"""1_1239426""","ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3",TRUE,FALSE
"""1_3522935""","MEGF6",TRUE,FALSE
"""1_3531260""","RP11-46F15.2;TPRG1L",TRUE,FALSE
"""1_3665843""","CCDC27",TRUE,FALSE
"""1_6840889""","RP11-312B8.1",TRUE,FALSE
"""1_9336978""","Z98044.1",TRUE,FALSE
"""1_9908051""","RP11-84A14.5",TRUE,FALSE
"""1_11113121""","SRM",TRUE,FALSE
"""1_11285314""","RNU6-291P",TRUE,FALSE
"""1_11793489""","AGTRAP",TRUE,FALSE
"""1_12034073""","MFN2",TRUE,FALSE
"""1_12566709""","SNORA59A",TRUE,FALSE
"""1_12627258""","RNU6ATAC18P",TRUE,FALSE
"""1_12673527""","DHRS3;RP11-474O21.5",TRUE,FALSE
"""1_12700924""","AADACL4",TRUE,FALSE
"""1_17573271""","PADI3",TRUE,FALSE
"""1_19531652""","RP1-43E13.2;UBR4",TRUE,FALSE
"""1_23805982""","ASAP3",TRUE,FALSE
"""1_23851717""","E2F2",TRUE,FALSE
"""1_23884168""","ID3",TRUE,FALSE
"""1_23903672""","MDS2",TRUE,FALSE
"""1_24469097""","IL22RA1",TRUE,FALSE
"""1_24505108""","IFNLR1",TRUE,FALSE
"""1_24742131""","NIPAL3;STPG1",TRUE,FALSE
"""1_24742861""","STPG1",TRUE,FALSE
"""1_24796618""",NA,TRUE,FALSE
"""1_24828117""","RCAN3",TRUE,FALSE
"""1_24869385""","NCMAP;RP4-594I10.3",TRUE,FALSE
"""1_24956915""","SRRM1",TRUE,FALSE
"""1_24992621""","snoU13;SRRM1",TRUE,FALSE
"""1_25531683""","RP4-706G24.1",TRUE,FALSE
"""1_27714328""","GPR3;RP1-144C9.2",TRUE,FALSE
"""1_32106422""","PEF1;RP11-73M7.6;RP11-73M7.9",TRUE,FALSE
"""1_32118197""","COL16A1;RP11-73M7.6",TRUE,FALSE
"""1_36689675""","THRAP3",TRUE,FALSE
"""1_36771651""","EVA1B;RP11-268J15.5;SH3D21",TRUE,FALSE
"""1_36848555""","STK40",TRUE,FALSE
"""1_36858888""","LSM10",TRUE,FALSE
"""1_36863902""","RNU4-27P",TRUE,FALSE
"""1_36883305""","OSCP1;SNORA63",TRUE,FALSE
"""1_36915681""","OSCP1",TRUE,FALSE
"""1_36927584""","CSF3R;MRPS15",TRUE,FALSE
"""1_37937165""","LINC01137;ZC3H12A",TRUE,FALSE
"""1_38156332""","C1orf109;CDCA8",TRUE,FALSE
"""1_44856226""","RNU6-369P",TRUE,FALSE
"""1_44870573""","RNF220",TRUE,FALSE
"""1_44984948""",NA,TRUE,FALSE
"""1_117600462""","RP11-27K13.3",TRUE,FALSE
"""1_118143091""","AL157902.3;FAM46C",TRUE,FALSE
"""1_118471117""","GDAP2;WDR3",TRUE,FALSE
"""1_147013180""","BCL9",TRUE,FALSE
"""1_151333183""","SELENBP1",TRUE,FALSE
"""1_151368335""","PSMB4",TRUE,FALSE
"""1_151427825""","POGZ",TRUE,FALSE
"""1_151478606""","CGN",TRUE,FALSE
"""1_151496436""","CGN;SNORA44",TRUE,FALSE
"""1_151516084""","MIR554;RP11-74C1.2;TUFT1",TRUE,FALSE
"""1_151879964""","THEM4",TRUE,FALSE
"""1_152130894""","RPTN",TRUE,FALSE
"""1_152843096""","SMCP",TRUE,FALSE
"""1_152878549""","IVL",TRUE,FALSE
"""1_153174920""","LELP1",TRUE,FALSE
"""1_153189952""","PRR9",TRUE,FALSE
"""1_155887793""","KIAA0907;SNORA42",TRUE,FALSE
"""1_155945236""","ARHGEF2;RP11-336K24.12;RP11-336K24.5",TRUE,FALSE
"""1_178500099""","C1ORF220;C1orf220",TRUE,FALSE
"""1_178691659""","RALGPS2;RP11-428K3.1",TRUE,FALSE
"""1_178991018""","FAM20B",TRUE,FALSE
"""1_179043494""","TOR3A",TRUE,FALSE
"""1_179060756""",NA,TRUE,FALSE
"""1_203964633""","AC096645.1",TRUE,FALSE
"""1_205471598""","CDK18",TRUE,FALSE
"""1_209955276""","C1orf74",TRUE,FALSE
"""1_210000236""","DIEXF",TRUE,FALSE
"""1_245206207""","RNU6-999P",TRUE,FALSE
"""10_1033144""","AL359878.1;GTPBP4",TRUE,FALSE
"""10_3790089""","RP11-184A2.3",TRUE,FALSE
"""10_3805190""","RP11-184A2.2",TRUE,FALSE
"""10_3826209""","KLF6",TRUE,FALSE
"""10_4827581""","AKR1E2",TRUE,FALSE
"""10_5724875""","FAM208B",TRUE,FALSE
"""10_5876004""","GDI2",TRUE,FALSE
"""10_5920962""","ANKRD16;FBXO18",TRUE,FALSE
"""10_12125421""","DHTKD1",TRUE,FALSE
"""10_12288804""","RP11-186N15.3",TRUE,FALSE
"""10_12385400""","CAMK1D",TRUE,FALSE
"""10_15899090""","FAM188A",TRUE,FALSE
"""10_70829816""","SRGN",TRUE,FALSE
"""10_70876908""","VPS26A",TRUE,FALSE
"""10_79394612""","KCNMA1",TRUE,FALSE
"""10_81837593""","TMEM254-AS1;TMEM254",TRUE,FALSE
"""10_82213383""","TSPAN14",TRUE,FALSE
"""10_82283662""","RP11-137H2.4;SH2D4B",TRUE,FALSE
"""10_99044940""","ARHGAP19;ARHGAP19-SLIT1",TRUE,FALSE
"""10_112061091""","SMNDC1",TRUE,FALSE
"""10_112255134""","DUSP5;RP11-525A16.4",TRUE,FALSE
"""10_112631371""","PDCD4-AS1;PDCD4",TRUE,FALSE
"""10_126429450""","FAM53B",TRUE,FALSE
